sport,man,woman
Archery,0.5,0.5
Artistic Gymnastics,0.5625,0.4375
Athletics,0.5409836065573771,0.45901639344262296
Badminton,0.49411764705882355,0.5058823529411764
Boxing,0.6470588235294118,0.35294117647058826
Canoe Slalom,0.46153846153846156,0.5384615384615384
Canoe Sprint,0.4427083333333333,0.5572916666666666
Cycling BMX Freestyle,0.5,0.5
Cycling BMX Racing,0.5,0.5
Cycling Mountain Bike,0.5,0.5
Cycling Road,0.6447876447876448,0.3552123552123552
Cycling Track,0.5,0.5
Diving,0.5043478260869565,0.4956521739130435
Equestrian,1.0,0.0
Fencing,0.5094339622641509,0.49056603773584906
Golf,0.5,0.5
Judo,0.5114503816793893,0.48854961832061067
Karate,0.5185185185185185,0.48148148148148145
Marathon Swimming,0.5098039215686274,0.49019607843137253
Modern Pentathlon,0.5,0.5
Rhythmic Gymnastics,1.0,0.0
Rowing,0.5,0.5
Sailing,0.5266666666666666,0.47333333333333333
Shooting,0.465324384787472,0.5346756152125279
Skateboarding,0.5,0.5
Sport Climbing,0.5,0.5
Surfing,0.0,1.0
Swimming,0.5,0.5
Table Tennis,0.48148148148148145,0.5185185185185185
Taekwondo,0.5,0.5
Tennis,0.5,0.5
Trampoline Gymnastics,0.5,0.5
Triathlon,0.4857142857142857,0.5142857142857142
Weightlifting,0.4972067039106145,0.5027932960893855
Wrestling,0.6678200692041523,0.33217993079584773
