,sport,event,medal,rank,country_name,country_code,athlete_full_name,gender
3580,Archery,Women's Individual,GOLD,1,Republic of Korea,KOR,San AN,woman
3660,Archery,Men's Individual,GOLD,1,Turkey,TUR,Mete GAZOZ,man
3610,Archery,Women's Individual,SILVER,2,ROC,ROC,Elena OSIPOVA,woman
3631,Archery,Men's Individual,SILVER,2,Italy,ITA,Mauro NESPOLI,man
3589,Archery,Women's Individual,BRONZE,3,Italy,ITA,Lucilla BOARI,woman
3664,Archery,Men's Individual,BRONZE,3,Japan,JPN,Takaharu FURUKAWA,man
3565,Archery,Women's Individual,,4,United States of America,USA,Mackenzie BROWN,woman
3665,Archery,Men's Individual,,4,Chinese Taipei,TPE,Chih-Chun TANG,man
3579,Archery,Women's Individual,,5,Mexico,MEX,Alejandra VALENCIA,woman
3618,Archery,Men's Individual,,5,Republic of Korea,KOR,Woojin KIM,man
3661,Archery,Men's Individual,,5,Germany,GER,Florian UNRUH,man
3555,Archery,Women's Individual,,6,People's Republic of China,CHN,Jiaxin WU,woman
3551,Archery,Women's Individual,,7,Republic of Korea,KOR,Chae Young KANG,woman
3636,Archery,Men's Individual,,7,United States of America,USA,Brady ELLISON,man
3599,Archery,Women's Individual,,8,India,IND,Deepika KUMARI,woman
2816,Artistic Gymnastics,Women's Vault,GOLD,1,Brazil,BRA,Rebeca ANDRADE,woman
2820,Artistic Gymnastics,Men's All-Around,GOLD,1,Japan,JPN,Daiki HASHIMOTO,man
2847,Artistic Gymnastics,Women's Balance Beam,GOLD,1,People's Republic of China,CHN,Chenchen GUAN,woman
2867,Artistic Gymnastics,Women's All-Around,GOLD,1,United States of America,USA,Sunisa LEE,woman
2879,Artistic Gymnastics,Men's Horizontal Bar,GOLD,1,Japan,JPN,Daiki HASHIMOTO,man
2884,Artistic Gymnastics,Men's Pommel Horse,GOLD,1,Great Britain,GBR,Max WHITLOCK,man
2893,Artistic Gymnastics,Men's Vault,GOLD,1,Republic of Korea,KOR,Jeahwan SHIN,man
2903,Artistic Gymnastics,Women's Floor Exercise,GOLD,1,United States of America,USA,Jade CAREY,woman
2909,Artistic Gymnastics,Women's Uneven Bars,GOLD,1,Belgium,BEL,Nina DERWAEL,woman
2922,Artistic Gymnastics,Men's Parallel Bars,GOLD,1,People's Republic of China,CHN,Jingyuan ZOU,man
2926,Artistic Gymnastics,Men's Floor Exercise,GOLD,1,Israel,ISR,Artem DOLGOPYAT,man
2939,Artistic Gymnastics,Men's Rings,GOLD,1,People's Republic of China,CHN,Yang LIU,man
2815,Artistic Gymnastics,Women's Vault,SILVER,2,United States of America,USA,Mykayla SKINNER,woman
2824,Artistic Gymnastics,Men's All-Around,SILVER,2,People's Republic of China,CHN,Ruoteng XIAO,man
