sport,event,medal,rank,country_name,country_code,athlete_full_name
Shooting,50m Rifle 3 Positions women,,19,People's Republic of China,CHN,Dongqi CHEN
Shooting,50m Rifle 3 Positions women,,5,United States of America,USA,Sagen MADDALENA
Shooting,50m Rifle 3 Positions women,,17,Belarus,BLR,Maria MARTYNOVA
Shooting,50m Rifle 3 Positions women,3.0,3,ROC,ROC,Yulia KARIMOVA
Shooting,50m Rifle 3 Positions women,,18,Islamic Republic of Iran,IRI,Najmeh KHEDMATI
Shooting,50m Rifle 3 Positions women,1.0,1,Switzerland,SUI,Nina CHRISTEN
Shooting,50m Rifle 3 Positions women,,12,Norway,NOR,Jenny STENE
Shooting,50m Rifle 3 Positions women,,8,Serbia,SRB,Andrea ARSOVIC
Shooting,50m Rifle 3 Positions women,,6,Germany,GER,Jolyn BEER
Shooting,50m Rifle 3 Positions women,,37,Indonesia,INA,Vidya Rafika Rahmatan TOYYIBA
Shooting,50m Rifle 3 Positions women,,25,Serbia,SRB,Sanja VUKASINOVIC
Shooting,50m Rifle 3 Positions women,,24,Czech Republic,CZE,Nikola MAZUROVA
Shooting,50m Rifle 3 Positions women,,9,People's Republic of China,CHN,Mengyao SHI
Shooting,50m Rifle 3 Positions women,,35,Egypt,EGY,Alzahraa SHABAN
Shooting,50m Rifle 3 Positions women,,27,Mongolia,MGL,Yesugen OYUNBAT
Shooting,50m Rifle 3 Positions women,,28,Puerto Rico,PUR,Yarimar MERCADO MARTINEZ
Shooting,50m Rifle 3 Positions women,,16,Poland,POL,Aneta STANKIEWICZ
Shooting,50m Rifle 3 Positions women,,32,Republic of Korea,KOR,Eunyoung CHO
Shooting,50m Rifle 3 Positions women,,14,Great Britain,GBR,Seonaid MCINTOSH
Shooting,50m Rifle 3 Positions women,,30,Uzbekistan,UZB,Mukhtasar TOKHIROVA
Shooting,50m Rifle 3 Positions women,,22,Islamic Republic of Iran,IRI,Fatemeh KARAMZADEH
Shooting,50m Rifle 3 Positions women,,20,Republic of Korea,KOR,Sanghee BAE
Shooting,50m Rifle 3 Positions women,,34,Malaysia,MAS,Nur Suryani MOHAMED TAIBI
Shooting,50m Rifle 3 Positions women,,4,Norway,NOR,Jeanette Hegg DUESTAD
Shooting,50m Rifle 3 Positions women,,7,Slovenia,SLO,Ziva DVORSAK
Shooting,50m Rifle 3 Positions women,,13,United States of America,USA,Mary Carolynn TUCKER
Shooting,50m Rifle 3 Positions women,,36,Australia,AUS,Katarina Rose KOWPLOS
Shooting,50m Rifle 3 Positions women,,26,Hungary,HUN,Eszter MESZAROS
Shooting,50m Rifle 3 Positions women,,21,Italy,ITA,Sofia CECCARELLO
Shooting,50m Rifle 3 Positions women,,23,Cuba,CUB,Eglys CRUZ
Shooting,50m Rifle 3 Positions women,,31,France,FRA,Oceanne MULLER
Shooting,50m Rifle 3 Positions women,,11,Japan,JPN,Shiori HIRATA
Shooting,50m Rifle 3 Positions women,,15,India,IND,Anjum MOUDGIL
Shooting,50m Rifle 3 Positions women,,29,Denmark,DEN,Rikke Maeng IBSEN
Shooting,50m Rifle 3 Positions women,,33,India,IND,Tejaswini SAWANT
Shooting,50m Rifle 3 Positions women,,10,Croatia,CRO,Snjezana PEJCIC
Shooting,50m Rifle 3 Positions women,2.0,2,ROC,ROC,Yulia ZYKOVA
Shooting,50m Rifle 3 Positions Men,2.0,2,ROC,ROC,Sergey KAMENSKIY
Shooting,50m Rifle 3 Positions Men,,8,Ukraine,UKR,Serhiy KULISH
Shooting,50m Rifle 3 Positions Men,,38,Egypt,EGY,Osama ELSAEID
Shooting,50m Rifle 3 Positions Men,,10,Hungary,HUN,Istvan PENI
Shooting,50m Rifle 3 Positions Men,,20,Islamic Republic of Iran,IRI,Mahyar SEDAGHAT
Shooting,50m Rifle 3 Positions Men,,35,Oman,OMA,Hamed Said ALKHATRI
Shooting,50m Rifle 3 Positions Men,1.0,1,People's Republic of China,CHN,Changhong ZHANG
Shooting,50m Rifle 3 Positions Men,,28,Denmark,DEN,Steffen OLSEN
Shooting,50m Rifle 3 Positions Men,,5,Croatia,CRO,Petar GORSA
Shooting,50m Rifle 3 Positions Men,,34,Argentina,ARG,Alexis Exequiel EBERHARDT
Shooting,50m Rifle 3 Positions Men,,32,India,IND,Sanjeev RAJPUT
Shooting,50m Rifle 3 Positions Men,,27,Australia,AUS,Dane SAMPSON
Shooting,50m Rifle 3 Positions Men,,23,Serbia,SRB,Milutin STEFANOVIC
Shooting,50m Rifle 3 Positions Men,,21,India,IND,Aishwary Pratap Singh TOMAR
Shooting,50m Rifle 3 Positions Men,,36,Turkey,TUR,Omer AKGUN
Shooting,50m Rifle 3 Positions Men,,15,Poland,POL,Tomasz BARTNIK
Shooting,50m Rifle 3 Positions Men,,16,Czech Republic,CZE,Jiri PRIVRATSKY
Shooting,50m Rifle 3 Positions Men,,22,Ukraine,UKR,Oleh TSARKOV
Shooting,50m Rifle 3 Positions Men,,31,Japan,JPN,Naoya OKADA
Shooting,50m Rifle 3 Positions Men,,12,United States of America,USA,Patrick SUNDERMAN
Shooting,50m Rifle 3 Positions Men,,13,Slovakia,SVK,Patrik JANY
Shooting,50m Rifle 3 Positions Men,,4,Norway,NOR,Jon-Hermann HEGG
Shooting,50m Rifle 3 Positions Men,,11,People's Republic of China,CHN,Zhonghao ZHAO
Shooting,50m Rifle 3 Positions Men,,37,Japan,JPN,Takayuki MATSUMOTO
Shooting,50m Rifle 3 Positions Men,,17,Czech Republic,CZE,Petr NYMBURSKY
Shooting,50m Rifle 3 Positions Men,,26,United States of America,USA,Nickolaus MOWRER
Shooting,50m Rifle 3 Positions Men,3.0,3,Serbia,SRB,Milenko SEBIC
Shooting,50m Rifle 3 Positions Men,,14,Kazakhstan,KAZ,Yuriy YURKOV
Shooting,50m Rifle 3 Positions Men,,19,Italy,ITA,Marco DE NICOLO
Shooting,50m Rifle 3 Positions Men,,9,Norway,NOR,Henrik LARSEN
Shooting,50m Rifle 3 Positions Men,,6,Croatia,CRO,Miran MARICIC
Shooting,50m Rifle 3 Positions Men,,33,Mexico,MEX,Jose Luis SANCHEZ
Shooting,50m Rifle 3 Positions Men,,18,Hungary,HUN,Zalan PEKLER
Shooting,50m Rifle 3 Positions Men,,29,Australia,AUS,Jack ROSSITER
Shooting,50m Rifle 3 Positions Men,,24,Republic of Korea,KOR,Sangdo KIM
Shooting,50m Rifle 3 Positions Men,,39,Venezuela,VEN,Julio Cesar IEMMA HERNANDEZ
Shooting,50m Rifle 3 Positions Men,,30,Italy,ITA,Lorenzo BACCI
Shooting,50m Rifle 3 Positions Men,,25,Lithuania,LTU,Karolis GIRULIS
Shooting,50m Rifle 3 Positions Men,,7,Belarus,BLR,Yury SHCHERBATSEVICH
Shooting,25m Rapid Fire Pistol Men,,4,Republic of Korea,KOR,Daeyoon HAN
Shooting,25m Rapid Fire Pistol Men,2.0,2,Cuba,CUB,Leuris PUPO
Shooting,25m Rapid Fire Pistol Men,1.0,1,France,FRA,Jean QUIQUAMPOIX
Shooting,25m Rapid Fire Pistol Men,,23,Mongolia,MGL,Davaakhuu ENKHTAIVAN
Shooting,25m Rapid Fire Pistol Men,,12,Cuba,CUB,Jorge ALVAREZ
Shooting,25m Rapid Fire Pistol Men,,19,Estonia,EST,Peeter OLESK
Shooting,25m Rapid Fire Pistol Men,,6,People's Republic of China,CHN,Junmin LIN
Shooting,25m Rapid Fire Pistol Men,,17,Australia,AUS,Sergei EVGLEVSKI
Shooting,25m Rapid Fire Pistol Men,,16,Italy,ITA,Riccardo MAZZETTI
Shooting,25m Rapid Fire Pistol Men,,26,Colombia,COL,Bernardo TOBAR PRADO
Shooting,25m Rapid Fire Pistol Men,,5,Germany,GER,Christian REITZ
Shooting,25m Rapid Fire Pistol Men,,8,Japan,JPN,Dai YOSHIOKA
Shooting,25m Rapid Fire Pistol Men,3.0,3,People's Republic of China,CHN,Yuehong LI
Shooting,25m Rapid Fire Pistol Men,,21,Azerbaijan,AZE,Ruslan LUNEV
Shooting,25m Rapid Fire Pistol Men,,13,Germany,GER,Oliver GEIS
Shooting,25m Rapid Fire Pistol Men,,18,Peru,PER,Marko CARRILLO
Shooting,25m Rapid Fire Pistol Men,,DSQ,Republic of Korea,KOR,Jong-Ho SONG
Shooting,25m Rapid Fire Pistol Men,,10,Pakistan,PAK,Ghulam Mustafa BASHIR
Shooting,25m Rapid Fire Pistol Men,,24,Turkey,TUR,Ozgur VARLIK
Shooting,25m Rapid Fire Pistol Men,,11,ROC,ROC,Leonid EKIMOV
Shooting,25m Rapid Fire Pistol Men,,20,Thailand,THA,Isaranuudom PHURIHIRANPHAT
Shooting,25m Rapid Fire Pistol Men,,7,France,FRA,Clement BESSAGUET
Shooting,25m Rapid Fire Pistol Men,,15,Pakistan,PAK,Muhammad Khalil AKHTAR
Shooting,25m Rapid Fire Pistol Men,,25,United States of America,USA,Jack Hobson LEVERETT III
Shooting,25m Rapid Fire Pistol Men,,22,United States of America,USA,Henry Turner LEVERETT
Shooting,25m Rapid Fire Pistol Men,,14,Italy,ITA,Tommaso CHELLI
Shooting,25m Rapid Fire Pistol Men,,9,Ukraine,UKR,Pavlo KOROSTYLOV
Shooting,10m Air Rifle Men,,4,Turkey,TUR,Omer AKGUN
Shooting,10m Air Rifle Men,2.0,2,People's Republic of China,CHN,Lihao SHENG
Shooting,10m Air Rifle Men,,38,Serbia,SRB,Milutin STEFANOVIC
Shooting,10m Air Rifle Men,,39,Hungary,HUN,Zalan PEKLER
Shooting,10m Air Rifle Men,,29,Ukraine,UKR,Serhiy KULISH
Shooting,10m Air Rifle Men,,42,Egypt,EGY,Osama ELSAEID
Shooting,10m Air Rifle Men,,34,Italy,ITA,Lorenzo BACCI
Shooting,10m Air Rifle Men,,30,Australia,AUS,Dane SAMPSON
Shooting,10m Air Rifle Men,,27,Israel,ISR,Sergey RICHTER
Shooting,10m Air Rifle Men,,10,ROC,ROC,Sergey KAMENSKIY
Shooting,10m Air Rifle Men,,25,Croatia,CRO,Miran MARICIC
Shooting,10m Air Rifle Men,1.0,1,United States of America,USA,William SHANER
Shooting,10m Air Rifle Men,3.0,3,People's Republic of China,CHN,Haoran YANG
Shooting,10m Air Rifle Men,,32,India,IND,Divyansh Singh PANWAR
Shooting,10m Air Rifle Men,,44,Philippines,PHI,Jayson VALDEZ
Shooting,10m Air Rifle Men,,13,Austria,AUT,Martin STREMPFL
Shooting,10m Air Rifle Men,,8,ROC,ROC,Vladimir MASLENNIKOV
Shooting,10m Air Rifle Men,,37,Japan,JPN,Takayuki MATSUMOTO
Shooting,10m Air Rifle Men,,45,Egypt,EGY,Youssef Helmy MAKKAR
Shooting,10m Air Rifle Men,,31,Serbia,SRB,Milenko SEBIC
Shooting,10m Air Rifle Men,,17,Chinese Taipei,TPE,Shao-Chuan LU
Shooting,10m Air Rifle Men,,20,Japan,JPN,Naoya OKADA
Shooting,10m Air Rifle Men,,21,Australia,AUS,Alex Chresten HOBERG
Shooting,10m Air Rifle Men,,9,Islamic Republic of Iran,IRI,Mahyar SEDAGHAT
Shooting,10m Air Rifle Men,,11,Norway,NOR,Henrik LARSEN
Shooting,10m Air Rifle Men,,18,Mexico,MEX,Edson Ismael RAMIREZ RAMOS
Shooting,10m Air Rifle Men,,35,Italy,ITA,Marco SUPPINI
Shooting,10m Air Rifle Men,,16,Croatia,CRO,Petar GORSA
Shooting,10m Air Rifle Men,,41,Bangladesh,BAN,Abdullah Hel BAKI
Shooting,10m Air Rifle Men,,43,Venezuela,VEN,Julio Cesar IEMMA HERNANDEZ
Shooting,10m Air Rifle Men,,12,Republic of Korea,KOR,Taeyun NAM
Shooting,10m Air Rifle Men,,33,Argentina,ARG,Alexis Exequiel EBERHARDT
Shooting,10m Air Rifle Men,,26,India,IND,Deepak KUMAR
Shooting,10m Air Rifle Men,,24,Republic of Korea,KOR,Sangdo KIM
Shooting,10m Air Rifle Men,,7,Slovakia,SVK,Patrik JANY
Shooting,10m Air Rifle Men,,19,Czech Republic,CZE,David HRCKULAK
Shooting,10m Air Rifle Men,,6,United States of America,USA,Lucas KOZENIESKY
Shooting,10m Air Rifle Men,,5,Hungary,HUN,Istvan PENI
Shooting,10m Air Rifle Men,,14,Czech Republic,CZE,Jiri PRIVRATSKY
Shooting,10m Air Rifle Men,,47,Afghanistan,AFG,Mahdi YOVARI
Shooting,10m Air Rifle Men,,15,Belarus,BLR,Yury SHCHERBATSEVICH
Shooting,10m Air Rifle Men,,28,Lithuania,LTU,Karolis GIRULIS
Shooting,10m Air Rifle Men,,46,Kosovo,KOS,Drilon IBRAHIMI
Shooting,10m Air Rifle Men,,40,Ukraine,UKR,Oleh TSARKOV
Shooting,10m Air Rifle Men,,23,Poland,POL,Tomasz BARTNIK
Shooting,10m Air Rifle Men,,36,Kazakhstan,KAZ,Yuriy YURKOV
Shooting,10m Air Rifle Men,,22,Norway,NOR,Jon-Hermann HEGG
Shooting,10m Air Rifle women,,5,France,FRA,Oceanne MULLER
Shooting,10m Air Rifle women,,44,Serbia,SRB,Sanja VUKASINOVIC
Shooting,10m Air Rifle women,,33,Uzbekistan,UZB,Mukhtasar TOKHIROVA
Shooting,10m Air Rifle women,,13,ROC,ROC,Yulia KARIMOVA
Shooting,10m Air Rifle women,,18,People's Republic of China,CHN,Luyao WANG
Shooting,10m Air Rifle women,,7,Republic of Korea,KOR,Eunji KWON
Shooting,10m Air Rifle women,,36,India,IND,Apurvi CHANDELA
Shooting,10m Air Rifle women,,19,Norway,NOR,Jenny STENE
Shooting,10m Air Rifle women,,4,Norway,NOR,Jeanette Hegg DUESTAD
Shooting,10m Air Rifle women,,15,Poland,POL,Aneta STANKIEWICZ
Shooting,10m Air Rifle women,,9,Romania,ROU,Laura-Georgeta ILIE
Shooting,10m Air Rifle women,,14,United States of America,USA,Alison Marie WEISZ
Shooting,10m Air Rifle women,,34,Japan,JPN,Shiori HIRATA
Shooting,10m Air Rifle women,,11,Slovenia,SLO,Ziva DVORSAK
Shooting,10m Air Rifle women,,32,Japan,JPN,Haruka NAKAGUCHI
Shooting,10m Air Rifle women,,17,Germany,GER,Jolyn BEER
Shooting,10m Air Rifle women,,20,Hungary,HUN,Eszter MESZAROS
Shooting,10m Air Rifle women,1.0,1,People's Republic of China,CHN,Qian YANG
Shooting,10m Air Rifle women,,30,Islamic Republic of Iran,IRI,Armina SADEGHIAN
Shooting,10m Air Rifle women,,12,Great Britain,GBR,Seonaid MCINTOSH
Shooting,10m Air Rifle women,,16,India,IND,Elavenil VALARIVAN
Shooting,10m Air Rifle women,,28,Denmark,DEN,Anna NIELSEN
Shooting,10m Air Rifle women,,45,Australia,AUS,Katarina Rose KOWPLOS
Shooting,10m Air Rifle women,,24,Belarus,BLR,Maria MARTYNOVA
Shooting,10m Air Rifle women,,23,Islamic Republic of Iran,IRI,Fatemeh KARAMZADEH
Shooting,10m Air Rifle women,3.0,3,Switzerland,SUI,Nina CHRISTEN
Shooting,10m Air Rifle women,,31,Croatia,CRO,Snjezana PEJCIC
Shooting,10m Air Rifle women,,21,Singapore,SGP,Qian Xiu Adele TAN
Shooting,10m Air Rifle women,,38,Egypt,EGY,Alzahraa SHABAN
Shooting,10m Air Rifle women,,27,Belgium,BEL,Jessie KAPS
Shooting,10m Air Rifle women,,29,Serbia,SRB,Andrea ARSOVIC
Shooting,10m Air Rifle women,,42,Australia,AUS,Elise COLLIER
Shooting,10m Air Rifle women,,8,Republic of Korea,KOR,Heemoon PARK
Shooting,10m Air Rifle women,,43,Bhutan,BHU,Lenchu KUNZANG
Shooting,10m Air Rifle women,,37,Cuba,CUB,Eglys CRUZ
Shooting,10m Air Rifle women,,39,Algeria,ALG,Houda CHAABI
Shooting,10m Air Rifle women,,49,Sri Lanka,SRI,Tehani EGODAWELA
Shooting,10m Air Rifle women,,48,Kyrgyzstan,KGZ,Kanykei KUBANYCHBEKOVA
Shooting,10m Air Rifle women,,47,Bosnia and Herzegovina,BIH,Tatjana DJEKANOVIC
Shooting,10m Air Rifle women,,25,Mongolia,MGL,Yesugen OYUNBAT
Shooting,10m Air Rifle women,,46,Nepal,NEP,Kalpana PARIYAR
Shooting,10m Air Rifle women,,50,Refugee Olympic Team,EOR,Luna SOLOMON
Shooting,10m Air Rifle women,,6,United States of America,USA,Mary Carolynn TUCKER
Shooting,10m Air Rifle women,,41,Czech Republic,CZE,Nikola MAZUROVA
Shooting,10m Air Rifle women,,35,Indonesia,INA,Vidya Rafika Rahmatan TOYYIBA
Shooting,10m Air Rifle women,,22,Denmark,DEN,Rikke Maeng IBSEN
Shooting,10m Air Rifle women,,40,Argentina,ARG,Fernanda RUSSO
Shooting,10m Air Rifle women,2.0,2,ROC,ROC,Anastasiia GALASHINA
Shooting,10m Air Rifle women,,26,Chinese Taipei,TPE,Ying-Shin LIN
Shooting,10m Air Rifle women,,10,Italy,ITA,Sofia CECCARELLO
Shooting,Trap Men,,4,Mexico,MEX,Jorge Martin OROZCO DIAZ
Shooting,Trap Men,,26,Ireland,IRL,Derek BURNETT
Shooting,Trap Men,,22,Croatia,CRO,Josip GLASNOVIC
Shooting,Trap Men,,18,San Marino,SMR,Gian Marco BERTI
Shooting,Trap Men,1.0,1,Czech Republic,CZE,Jiri LIPTAK
Shooting,Trap Men,,20,Portugal,POR,Joao AZEVEDO
Shooting,Trap Men,,16,Egypt,EGY,Abdel Aziz MEHELBA
Shooting,Trap Men,,9,Spain,ESP,Alberto FERNANDEZ
Shooting,Trap Men,,13,Qatar,QAT,Mohammed AL RUMAIHI
Shooting,Trap Men,,14,Chinese Taipei,TPE,Kun-Pi YANG
Shooting,Trap Men,,29,Japan,JPN,Shigetaka OYAMA
Shooting,Trap Men,,15,Germany,GER,Andreas LOEW
Shooting,Trap Men,,25,Australia,AUS,Thomas Derek GRICE
Shooting,Trap Men,,6,Kuwait,KUW,Abdulrahman AL FAIHAN
Shooting,Trap Men,,19,Egypt,EGY,Ahmed ZAHER
Shooting,Trap Men,,23,Great Britain,GBR,Aaron HEADING
Shooting,Trap Men,,24,United States of America,USA,Derrick Scott MEIN
Shooting,Trap Men,,21,Australia,AUS,James WILLETT
Shooting,Trap Men,,12,United States of America,USA,Brian BURROWS
Shooting,Trap Men,3.0,3,Great Britain,GBR,Matthew John COWARD HOLLEY
Shooting,Trap Men,,5,People's Republic of China,CHN,Haicheng YU
Shooting,Trap Men,,11,Slovakia,SVK,Erik VARGA
Shooting,Trap Men,,10,Italy,ITA,Mauro DE FILIPPIS
Shooting,Trap Men,,28,Cyprus,CYP,Andreas MAKRI
Shooting,Trap Men,,7,Kuwait,KUW,Talal ALRASHIDI
Shooting,Trap Men,2.0,2,Czech Republic,CZE,David KOSTELECKY
Shooting,Trap Men,,8,ROC,ROC,Alexey ALIPOV
Shooting,Trap Men,,27,Peru,PER,Alessandro DE SOUZA FERREIRA
Shooting,Trap Men,,17,Thailand,THA,Savate SRESTHAPORN
Shooting,Skeet women,,18,Argentina,ARG,Melisa GIL
Shooting,Skeet women,,16,Morocco,MAR,Ibtissam MARIRHI
Shooting,Skeet women,,10,United States of America,USA,Austen Jewell SMITH
Shooting,Skeet women,,15,ROC,ROC,Zilia BATYRSHINA
Shooting,Skeet women,1.0,1,United States of America,USA,Amber ENGLISH
Shooting,Skeet women,,9,France,FRA,Lucie ANASTASSIOU
Shooting,Skeet women,,21,Japan,JPN,Naoko ISHIHARA
Shooting,Skeet women,,24,Bahrain,BRN,Maryam HASSANI
Shooting,Skeet women,,26,Kazakhstan,KAZ,Assem ORYNBAY
Shooting,Skeet women,,4,Thailand,THA,Isarapa IMPRASERTSUK
Shooting,Skeet women,,17,People's Republic of China,CHN,Donglian ZHANG
Shooting,Skeet women,,22,Kazakhstan,KAZ,Zoya KRAVCHENKO
Shooting,Skeet women,,5,Germany,GER,Nadine MESSERSCHMIDT
Shooting,Skeet women,,DNS,Great Britain,GBR,Amber HILL
Shooting,Skeet women,3.0,3,People's Republic of China,CHN,Meng WEI
Shooting,Skeet women,,28,Senegal,SEN,Chiara COSTA
Shooting,Skeet women,,6,ROC,ROC,Natalia VINOGRADOVA
Shooting,Skeet women,,14,Czech Republic,CZE,Barbora SUMOVA
Shooting,Skeet women,,12,Mexico,MEX,Gabriela RODRIGUEZ
Shooting,Skeet women,,7,Cyprus,CYP,Andri ELEFTHERIOU
Shooting,Skeet women,,25,Australia,AUS,Laura COLES
Shooting,Skeet women,,27,New Zealand,NZL,Chloe TIPPLE
Shooting,Skeet women,,19,Poland,POL,Aleksandra JARMOLINSKA
Shooting,Skeet women,,20,Italy,ITA,Chiara CAINERO
Shooting,Skeet women,2.0,2,Italy,ITA,Diana BACOSI
Shooting,Skeet women,,8,Ukraine,UKR,Iryna MALOVICHKO
Shooting,Skeet women,,11,Thailand,THA,Sutiya JIEWCHALOEMMIT
Shooting,Skeet women,,13,Slovakia,SVK,Danka BARTEKOVA
Shooting,Skeet women,,23,Chile,CHI,Francisca CROVETTO CHADID
Shooting,Trap women,,17,ROC,ROC,Ekaterina SUBBOTINA
Shooting,Trap women,,9,Poland,POL,Sandra BERNAL
Shooting,Trap women,,13,Mexico,MEX,Alejandra RAMIREZ CABALLERO
Shooting,Trap women,,25,France,FRA,Melanie COUZY
Shooting,Trap women,,14,Spain,ESP,Fatima GALVEZ
Shooting,Trap women,,18,People's Republic of China,CHN,Weiyun DENG
Shooting,Trap women,,19,Japan,JPN,Yukie NAKAYAMA
Shooting,Trap women,,8,Italy,ITA,Jessica ROSSI
Shooting,Trap women,1.0,1,Slovakia,SVK,Zuzana STEFECEKOVA
Shooting,Trap women,,26,Guatemala,GUA,Adriana RUANO OLIVA
Shooting,Trap women,,22,Egypt,EGY,Maggy ASHMAWY
Shooting,Trap women,,16,Great Britain,GBR,Kirsty HEGARTY
Shooting,Trap women,,12,France,FRA,Carole CORMENIER
Shooting,Trap women,,5,Italy,ITA,Silvana STANCO
Shooting,Trap women,,21,Lebanon,LBN,Ray BASSIL
Shooting,Trap women,,7,United States of America,USA,Madelynn Ann BERNAU
Shooting,Trap women,,23,Guatemala,GUA,Ana Waleska SOTO ABRIL
Shooting,Trap women,,10,New Zealand,NZL,Natalie ROONEY
Shooting,Trap women,2.0,2,United States of America,USA,Kayle BROWNING
Shooting,Trap women,,6,Australia,AUS,Penny SMITH
Shooting,Trap women,3.0,3,San Marino,SMR,Alessandra PERILLI
Shooting,Trap women,,11,People's Republic of China,CHN,Xiaojing WANG
Shooting,Trap women,,15,ROC,ROC,Daria SEMIANOVA
Shooting,Trap women,,24,Finland,FIN,Satu MAKELA-NUMMELA
Shooting,Trap women,,20,Bulgaria,BUL,Selin ALI
Shooting,Trap women,,4,Australia,AUS,Laetisha SCANLAN
Shooting,10m Air Pistol women,,11,Belarus,BLR,Viktoria CHAIKA
Shooting,10m Air Pistol women,,42,Chinese Taipei,TPE,Chia Chen TIEN
Shooting,10m Air Pistol women,1.0,1,ROC,ROC,Vitalina BATSARASHKINA
Shooting,10m Air Pistol women,,51,Iraq,IRQ,Fatimah Abbas Waheeb AL-KAABI
Shooting,10m Air Pistol women,,32,Cuba,CUB,Laina PEREZ
Shooting,10m Air Pistol women,,33,Serbia,SRB,Jasmina MILOVANOVIC
Shooting,10m Air Pistol women,,7,France,FRA,Mathilde LAMOLLE
Shooting,10m Air Pistol women,,23,Japan,JPN,Satoko YAMADA
Shooting,10m Air Pistol women,,29,Germany,GER,Monika KARSCH
Shooting,10m Air Pistol women,,36,Ecuador,ECU,Andrea PEREZ PENA
Shooting,10m Air Pistol women,,35,ROC,ROC,Margarita LOMOVA
Shooting,10m Air Pistol women,,16,Republic of Korea,KOR,Gaeun CHOO
Shooting,10m Air Pistol women,,34,Hungary,HUN,Veronika MAJOR
Shooting,10m Air Pistol women,,49,United States of America,USA,Sandra UPTAGRAFFT
Shooting,10m Air Pistol women,,9,Mongolia,MGL,Anudari TSOLMONBAATAR
Shooting,10m Air Pistol women,,15,Austria,AUT,Sylvia STEINER
Shooting,10m Air Pistol women,,4,Ukraine,UKR,Olena KOSTEVYCH
Shooting,10m Air Pistol women,,13,India,IND,Yashaswini Singh DESWAL
Shooting,10m Air Pistol women,,17,Serbia,SRB,Zorana ARUNOVIC
Shooting,10m Air Pistol women,3.0,3,People's Republic of China,CHN,Ranxin JIANG
Shooting,10m Air Pistol women,,14,Chinese Taipei,TPE,Chia Ying WU
Shooting,10m Air Pistol women,,40,Egypt,EGY,Radwa ABDEL LATIF
Shooting,10m Air Pistol women,,5,People's Republic of China,CHN,Yuemei LIN
Shooting,10m Air Pistol women,,27,Australia,AUS,Elena GALIABOVITCH
Shooting,10m Air Pistol women,,8,France,FRA,Celine GOBERVILLE
Shooting,10m Air Pistol women,,6,Greece,GRE,Anna KORAKAKI
Shooting,10m Air Pistol women,,37,Albania,ALB,Manuela DELILAJ
Shooting,10m Air Pistol women,,28,Switzerland,SUI,Heidi DIETHELM GERBER
Shooting,10m Air Pistol women,,39,Thailand,THA,Naphaswan YANGPAIBOON
Shooting,10m Air Pistol women,,10,Islamic Republic of Iran,IRI,Haniyeh ROSTAMIYAN
Shooting,10m Air Pistol women,,20,Germany,GER,Carina WIMMER
Shooting,10m Air Pistol women,,19,Latvia,LAT,Agate RASMANE
Shooting,10m Air Pistol women,,41,Egypt,EGY,Hala ELGOHARI
Shooting,10m Air Pistol women,,44,Jordan,JOR,Asma ABU RABEE
Shooting,10m Air Pistol women,,45,Ecuador,ECU,Diana DURANGO FLORES
Shooting,10m Air Pistol women,,52,Yemen,YEM,Yasameen AL-RAIMI
Shooting,10m Air Pistol women,,38,United States of America,USA,Alexis LAGAN
Shooting,10m Air Pistol women,,30,Mongolia,MGL,Gundegmaa OTRYAD
Shooting,10m Air Pistol women,,25,Tunisia,TUN,Olfa CHARNI
Shooting,10m Air Pistol women,,50,Japan,JPN,Chizuru SASAKI
Shooting,10m Air Pistol women,,31,Georgia,GEO,Nino SALUKVADZE
Shooting,10m Air Pistol women,,53,Montenegro,MNE,Jelena PANTOVIC
Shooting,10m Air Pistol women,,24,Republic of Korea,KOR,Bomi KIM
Shooting,10m Air Pistol women,,21,Poland,POL,Klaudia BRES
Shooting,10m Air Pistol women,,18,Armenia,ARM,Elmira KARAPETYAN
Shooting,10m Air Pistol women,2.0,2,Bulgaria,BUL,Antoaneta BONEVA
Shooting,10m Air Pistol women,,26,Malta,MLT,Eleanor BEZZINA
Shooting,10m Air Pistol women,,46,Australia,AUS,Dina ASPANDIYAROVA
Shooting,10m Air Pistol women,,47,Canada,CAN,Lynda KIEJKO
Shooting,10m Air Pistol women,,43,Bulgaria,BUL,Maria GROZDEVA
Shooting,10m Air Pistol women,,48,Republic of Moldova,MDA,Anna DULCE
Shooting,10m Air Pistol women,,12,India,IND,Manu Bhaker
