sport,man,woman
Archery,64,64
Artistic Gymnastics,72,56
Athletics,462,392
Badminton,42,43
Boxing,187,102
Canoe Slalom,42,49
Canoe Sprint,85,107
Cycling BMX Freestyle,9,9
Cycling BMX Racing,24,24
Cycling Mountain Bike,38,38
Cycling Road,167,92
Cycling Track,80,80
Diving,58,57
Fencing,108,104
Golf,60,60
Judo,201,192
Karate,42,39
Marathon Swimming,26,25
Modern Pentathlon,36,36
Rhythmic Gymnastics,10,0
Rowing,32,32
Sailing,79,71
Shooting,208,239
Skateboarding,40,40
Sport Climbing,20,20
Surfing,0,20
Swimming,112,112
Table Tennis,65,70
Taekwondo,65,65
Tennis,64,64
Trampoline Gymnastics,8,8
Triathlon,51,54
Weightlifting,89,90
Wrestling,193,96
