,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
14115,WAN Jiyuan,F,19,China,CHN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,Bronze
14728,YANG Shuyu,F,19,China,CHN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,Bronze
13301,TOMINAGA Keisei,M,20,Japan,JPN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
14659,YAMAMOTO Mai,F,21,Japan,JPN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
7492,LI Haonan,M,22,China,CHN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
8369,MAWULI Stephanie,F,22,Japan,JPN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
9852,ONOLBAATAR Khulan,F,22,Mongolia,MGL,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
14825,YOUNG Jacquelyn,F,23,United States,USA,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,Gold
13911,VERVOORT Thibaut,M,23,Belgium,BEL,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
5528,HU Jinqiu,M,23,China,CHN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
4092,FROLKINA Evgeniia,F,24,Russia,ROC,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,Silver
4093,FROLKINA Olga,F,24,Russia,ROC,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,Silver
6260,KARPENKOV Ilia,M,24,Russia,ROC,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,Silver
6941,KOZIK Yulia,F,24,Russia,ROC,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,Silver
10504,PISKLOV Kirill,M,24,Russia,ROC,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,Silver
15106,ZUEV Alexander,M,24,Russia,ROC,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,Silver
9546,NISHIOKA Risa,F,24,Japan,JPN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
15032,ZHANG Zhiting,F,25,China,CHN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,Bronze
