country_name,sport,BRONZE,GOLD,SILVER,TOTAL
Algeria,Rowing,0,0,0,0
American Samoa,Sailing,0,0,0,0
Angola,Handball,0,0,0,0
Angola,Sailing,0,0,0,0
Argentina,Basketball,0,0,0,0
Argentina,Beach Volleyball,0,0,0,0
Argentina,Equestrian,0,0,0,0
Argentina,Football,0,0,0,0
Argentina,Handball,0,0,0,0
Argentina,Hockey,0,0,1,1
Argentina,Rowing,0,0,0,0
Argentina,Rugby Sevens,1,0,0,1
Argentina,Sailing,0,0,0,0
Argentina,Shooting,0,0,0,0
Argentina,Tennis,0,0,0,0
Argentina,Volleyball,1,0,0,1
Australia,Archery,0,0,0,0
Australia,Artistic Swimming,0,0,0,0
Australia,Badminton,0,0,0,0
Australia,Baseball/Softball,0,0,0,0
Australia,Basketball,1,0,0,1
Australia,Beach Volleyball,0,0,1,1
Australia,Canoe Sprint,0,1,0,1
Australia,Cycling Track,1,0,0,1
Australia,Equestrian,0,0,1,1
Australia,Football,0,0,0,0
Australia,Hockey,0,0,1,1
Australia,Rowing,2,2,0,4
Australia,Rugby Sevens,0,0,0,0
Australia,Sailing,0,1,0,1
Australia,Shooting,0,0,0,0
Australia,Swimming,4,2,0,6
Australia,Table Tennis,0,0,0,0
Australia,Tennis,1,0,0,1
Australia,Triathlon,0,0,0,0
Australia,Water Polo,0,0,0,0
Austria,Artistic Swimming,0,0,0,0
Austria,Canoe Sprint,0,0,0,0
Austria,Cycling Track,0,0,0,0
Austria,Equestrian,0,0,0,0
Austria,Rowing,0,0,0,0
Austria,Sailing,0,0,0,0
Austria,Table Tennis,0,0,0,0
Austria,Tennis,0,0,0,0
Austria,Triathlon,0,0,0,0
Bahrain,Handball,0,0,0,0
Bangladesh,Archery,0,0,0,0
Belarus,Archery,0,0,0,0
Belarus,Artistic Swimming,0,0,0,0
Belarus,Canoe Sprint,0,0,1,1
Belarus,Rhythmic Gymnastics,0,0,0,0
Belarus,Rowing,0,0,0,0
Belarus,Shooting,0,0,0,0
Belarus,Tennis,0,0,0,0
Belgium,3x3 Basketball,0,0,0,0
Belgium,Artistic Gymnastics,0,0,0,0
Belgium,Athletics,0,0,0,0
Belgium,Basketball,0,0,0,0
Belgium,Canoe Sprint,0,0,0,0
Belgium,Cycling Track,0,0,0,0
Belgium,Equestrian,1,0,0,1
Belgium,Hockey,0,1,0,1
Belgium,Rowing,0,0,0,0
Belgium,Sailing,0,0,0,0
Belgium,Tennis,0,0,0,0
Belgium,Triathlon,0,0,0,0
Botswana,Athletics,1,0,0,1
Brazil,Archery,0,0,0,0
Brazil,Beach Volleyball,0,0,0,0
Brazil,Canoe Sprint,0,0,0,0
Brazil,Equestrian,0,0,0,0
Brazil,Football,0,1,0,1
Brazil,Handball,0,0,0,0
Brazil,Judo,0,0,0,0
Brazil,Rugby Sevens,0,0,0,0
Brazil,Sailing,0,1,0,1
Brazil,Swimming,0,0,0,0
Brazil,Table Tennis,0,0,0,0
Brazil,Tennis,1,0,0,1
Brazil,Volleyball,0,0,1,1
Bulgaria,Badminton,0,0,0,0
Bulgaria,Rhythmic Gymnastics,0,1,0,1
Canada,Archery,0,0,0,0
Canada,Artistic Swimming,0,0,0,0
Canada,Athletics,1,0,0,1
Canada,Badminton,0,0,0,0
Canada,Baseball/Softball,1,0,0,1
Canada,Basketball,0,0,0,0
Canada,Beach Volleyball,0,0,0,0
Canada,Canoe Sprint,1,0,0,1
Canada,Cycling Track,0,0,0,0
Canada,Diving,0,0,1,1
Canada,Equestrian,0,0,0,0
Canada,Fencing,0,0,0,0
Canada,Football,0,1,0,1
Canada,Hockey,0,0,0,0
Canada,Rowing,1,1,0,2
Canada,Rugby Sevens,0,0,0,0
Canada,Sailing,0,0,0,0
Canada,Swimming,1,0,1,2
Canada,Table Tennis,0,0,0,0
Canada,Tennis,0,0,0,0
Canada,Triathlon,0,0,0,0
Canada,Volleyball,0,0,0,0
Canada,Water Polo,0,0,0,0
Chile,Beach Volleyball,0,0,0,0
Chile,Canoe Sprint,0,0,0,0
Chile,Football,0,0,0,0
Chile,Rowing,0,0,0,0
Chinese Taipei,Archery,0,0,1,1
